year,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Norway,Poland,Portugal,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States
1991,2,,,,,,,,,,1,3,,,,,,1,1,1,,,,1,,,,1,1,1,,,,,,1,7
1992,2,,1,,1,,1,,,,1,3,,,,,,1,1,1,1,,1,1,,,,1,1,1,,,,,,1,7
1993,2,,1,,1,,1,,,,1,4,,,,,,1,1,1,1,,1,1,,,,1,1,1,,1,,,,1,8
1994,2,,1,1,1,,1,,,1,1,4,,,,1,,1,1,1,1,,1,1,,,1,1,1,1,,1,,,,1,9
1995,2,,1,1,1,,1,,,1,1,4,,,1,1,,1,1,1,1,,1,1,1,,1,1,1,1,,1,,,,1,10
1996,2,1,1,2,1,,1,,,1,1,5,,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,,,1,10
1997,2,1,1,2,1,,1,,1,1,1,5,,1,1,1,,1,1,1,2,,1,1,1,1,1,1,1,1,,1,,,,1,10
1998,2,1,1,2,1,,1,,1,1,1,6,,1,1,1,,1,1,1,2,,1,1,1,1,1,1,1,1,,1,,,,1,10
1999,2,1,1,2,1,,1,,1,1,1,6,,1,2,1,,1,1,1,2,,1,1,1,1,1,1,1,1,,1,,,,1,10
2000,2,1,1,2,1,,2,1,1,1,1,7,1,1,2,1,,2,1,1,2,,1,1,1,1,1,1,1,1,,1,,,,1,10
2001,2,1,1,2,1,,2,1,1,1,1,7,1,1,2,1,,2,1,1,2,,1,1,1,1,1,2,1,1,,1,,,,1,10
2002,2,1,1,2,1,1,2,1,1,1,1,7,1,1,2,1,,2,2,1,2,,1,1,1,1,1,2,1,1,1,1,,,,1,12
2003,2,1,1,2,1,1,2,1,1,1,1,7,1,1,2,1,,2,2,1,2,,1,1,1,1,1,2,1,1,1,1,,,,1,12
2004,2,1,1,2,1,1,2,1,1,1,1,7,1,1,2,1,,2,2,1,2,,1,1,1,1,1,2,1,1,1,1,,,,1,13
2005,2,1,1,2,1,1,2,1,1,1,1,7,1,1,2,1,,2,2,1,2,,1,1,1,1,1,2,1,1,1,1,,,,1,14
2006,2,1,1,2,1,1,2,1,1,1,1,7,1,1,2,1,,2,2,1,2,,1,1,1,1,1,2,1,1,1,1,,1,2,1,16
2007,3,1,1,2,1,1,2,1,1,1,1,7,1,1,2,1,,2,2,1,2,,1,1,1,1,1,2,1,1,1,1,,1,2,1,16
2008,3,1,1,2,1,1,2,1,1,1,1,7,1,1,2,1,,2,2,1,2,,1,1,1,1,1,2,1,1,1,1,,1,2,1,16
2009,4,1,1,3,1,1,2,1,1,1,1,7,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,16
2010,4,1,1,3,1,1,2,1,1,1,1,7,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,16
2011,4,1,1,3,2,1,2,1,1,1,1,7,1,1,3,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,17
